date_time_utc,picked_up,pitched,call_end_result,City,Name,Address,Website,Phone,Email,Google Rating,Google Reviews,Yelp Rating,Yelp Reviews,FB Rating,FB Reviews,FB Likes,FB Checkins,FB Followers,Title,Description,Adwords,Facebook Ads,Twitter Ads,LinkedIn Ads,Bing Ads,Robot Config,SSL,WordPress,FB URL,Twitter URL,LinkedIn URL,YouTube URL,Instagram URL,Category,Search Type,Crawler Status,Founded,Company Type,Company Size,BBB Profile,State,Years in Business,First Name,Last Name,Contact Job Title,Revenue,Top Keywords
18.05.2024 15:38:00,Yes,Yes,Not Interested,,Stretch Zone,"6080 Falls Rd Suite 106, Baltimore, MD 21209",,4108537168,info@StretchZone.com;tuscaloosa@stretchzone.com;boyntonbeach@stretchzone.com;greenvillesc@stretchzone.com;carmel@stretchzone.com;encinitas@stretchzone.com;tv2@stretchzone.com;manhasset@stretchzone.com;wayland@stretchzone.com;gainesville@stretchzone.com;legacy@stretchzone.com;lakefallsvillage@stretchzone.com;eastcobb@stretchzone.com;NorthwestReno@stretchzone.com;franklinlakes@stretchzone.com;tc@stretchzone.com;stjlgtmx@whoisprivacyprotect.com;mbush@stretchzone.com;stretch@stretchzone.com;rochestermn@stretchzone.com;ankeny@stretchzone.com,4.9,221,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tr?id=481835676765012&ev=PageView&noscript=1,https://twitter.com/StretchZoneUSA,https://www.linkedin.com/company/stretch-zone/,https://www.youtube.com/channel/UCSPwu5bEnSYeut1dSr_uj-Q,https://www.instagram.com/stretchzone_lakefallsvillage/,"Wellness center in Towson, Maryland",google-places,1,2004,Privately Held,201-500,,,,,,,,
13/05/2024|12:47,Yes,Yes,Not Interested,,Mid Atlantic Medical Supply,"718 Main St, Reisterstown, MD 21136",,4103767547,service@medicalsuppliesbaltimore.com;feelbetter@suppliesforliving.com,,,,,,,105,2,110,1,0,0,0,0,0,0,1,0,1,https://www.facebook.com/MidAtlanticMedicalSupplyAndEquipment/,,,,,"Health & Wellness Products,Medical Equipment & Supplies,Oxygen Therapy Equipment",yellowpages,1,,,,,,,,,,,
13/05/2024|12:37,Yes,Yes,Not Interested,,The PelviCure Center,"10753 Falls Rd Ste 345, Lutherville, MD 21093",,4108473500,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,Health &amp; Wellness Products,yellowpages,1,,,,,,,,,,,
10.05.2024 15:22:00,Yes,Yes,Not Interested,Washington,Washington Wellness,"1 Kirby Road, Washington, CT 06793",https://washingtonctwellness.com/,(203) 980-1204,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ct/washington/profile/health-and-wellness/washington-wellness-0111-110089266,CT,0,Julie,Haesche,,,
10.05.2024 15:21:00,Yes,Yes,Not Interested,Charlotte,VYVE Wellness,"441 N Wendover Rd, Charlotte, NC 28211-1064",https://vyvewellness.com/,"(704) 412-3616,(704) 385-5113",,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/nc/charlotte/profile/health-and-wellness/vyve-wellness-0473-92031135,NC,0,William,Haas,,,
10.05.2024 14:20:00,Yes,Yes,Not Interested,Briarcliff Manor,Abbruzzese Wellness,"520 N State Rd Ste 102, Briarcliff Manor, NY 10510",http://wellnessistheway.net,(914) 762-8800,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ny/briarcliff-manor/profile/health-and-wellness/abbruzzese-wellness-0121-174654,NY,39,,,,,
10.05.2024 14:19:00,Yes,Yes,Not Interested,Keller,Advocate Wellness,"1211 S Main St Ste 300, Keller, TX 76248-0820",https://keller-chiro.com,(817) 308-4837,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/tx/keller/profile/health-and-wellness/advocate-wellness-0825-1000218639,TX,0,Christian,Nelson,,,
10.05.2024 11:52:00,Yes,Yes,Not Interested,Harrisonburg,AMPM Wellness,"320 Neff Ave, Harrisonburg, VA 22801",,(540) 432-1700,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/va/harrisonburg/profile/health-and-wellness/energie-wellness-0613-90026394,VA,14,Kathleen,Kelley,,,
09.05.2024 06:16:00,Yes,Yes,Not Interested,Clovis,MaryAnn's Aromatherapy And Wellness,"1865 Herndon Ave Ste K630, Clovis, CA 93611-6163",https://www.thelyfebalance.com,(323) 880-2026,hello@thelyfebalance.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ca/clovis/profile/health-and-wellness/lyfe-balance-inc-1066-850104434,CA,3,Tamar,,,,
09:05:2024 15.55,Yes,Yes,Not Interested,Prescott,Ophelein Inc,"1945 Commerce Center Cir Ste C, Prescott, AZ 86301-7411",https://legendarytotalwellness.com/,(928) 227-3131,legendarytotalwellness@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/az/prescott/profile/health-and-wellness/legendary-total-wellness-iv-hydration-bar-1126-1000119047,AZ,6,Timothy,McGhee,,,
